time,value
2025-09-14T06:10:57.542943498Z,61
2025-09-14T06:10:58.055253376Z,60
2025-09-14T06:10:59.936470488Z,61
2025-09-14T06:11:03.936336564Z,60
2025-09-14T06:11:07.94919724Z,61
2025-09-14T06:11:31.713629037Z,62
2025-09-14T06:11:41.729483714Z,61
2025-09-14T06:11:59.749213823Z,62
2025-09-14T06:12:07.723484047Z,63
2025-09-14T06:12:13.758394478Z,64
2025-09-14T06:12:15.723612071Z,65
2025-09-14T06:12:19.723216997Z,63
2025-09-14T06:12:21.739021107Z,62
2025-09-14T06:12:25.732673849Z,61
2025-09-14T06:12:33.745610408Z,62
2025-09-14T06:12:35.722902197Z,61
2025-09-14T06:12:39.726361028Z,62
2025-09-14T06:12:43.726240211Z,61
2025-09-14T06:12:45.817931238Z,62
2025-09-14T06:12:47.730310711Z,61
2025-09-14T06:13:19.727956329Z,60
2025-09-14T06:13:25.744410163Z,61
2025-09-14T06:13:27.728159846Z,60
2025-09-14T06:13:41.734211296Z,61
2025-09-14T06:13:55.724600577Z,62
2025-09-14T06:13:57.727056385Z,61
2025-09-14T06:14:17.723830479Z,62
2025-09-14T06:14:21.725073125Z,61
2025-09-14T06:14:45.723539837Z,60
2025-09-14T06:15:57.720471903Z,61
2025-09-14T06:16:05.721726818Z,62
2025-09-14T06:16:07.723952884Z,61
2025-09-14T06:16:09.726951706Z,62
2025-09-14T06:16:21.720622424Z,61
2025-09-14T06:16:23.723713798Z,62
2025-09-14T06:16:27.721600632Z,61
2025-09-14T06:16:35.722139945Z,64
2025-09-14T06:16:37.72455773Z,66
2025-09-14T06:16:39.721766032Z,69
2025-09-14T06:16:41.731591708Z,70
2025-09-14T06:16:43.721782605Z,71
2025-09-14T06:16:45.718283236Z,72
2025-09-14T06:16:47.721519005Z,71
2025-09-14T06:16:49.724514906Z,70
2025-09-14T06:16:51.727903154Z,68
2025-09-14T06:16:53.724656218Z,66
2025-09-14T06:16:55.721341254Z,65
2025-09-14T06:16:57.732883864Z,64
2025-09-14T06:16:59.723845417Z,63
2025-09-14T06:17:03.728027396Z,62
2025-09-14T06:17:07.721468379Z,61
2025-09-14T06:17:09.72476019Z,62
2025-09-14T06:17:13.724808846Z,61
2025-09-14T06:17:29.72642271Z,60
2025-09-14T06:17:33.733482573Z,61
2025-09-14T06:17:35.726645878Z,60
2025-09-14T06:17:37.775308793Z,61
2025-09-14T06:17:43.72729127Z,60
2025-09-14T06:17:45.730443928Z,61
2025-09-14T06:17:49.724649702Z,60
2025-09-14T06:17:51.720453742Z,61
2025-09-14T06:17:53.723863956Z,60
2025-09-14T06:17:59.72222942Z,61
2025-09-14T06:18:01.718816703Z,60
2025-09-14T06:18:07.728307922Z,61
2025-09-14T06:18:11.723740242Z,60
2025-09-14T06:18:13.72446607Z,61
2025-09-14T06:18:15.723498269Z,60
2025-09-14T06:18:21.636074632Z,61
2025-09-14T06:18:25.786378162Z,60
2025-09-14T06:18:27.795185544Z,61
2025-09-14T06:18:29.790562222Z,60
2025-09-14T06:18:31.789605455Z,61
2025-09-14T06:18:35.790829136Z,60
2025-09-14T06:18:37.792838294Z,61
2025-09-14T06:18:41.787051603Z,60
2025-09-14T06:18:45.793419717Z,61
2025-09-14T06:18:47.796724012Z,60
2025-09-14T06:18:49.788902855Z,61
2025-09-14T06:18:53.787239247Z,60
2025-09-14T06:18:57.7915724Z,61
2025-09-14T06:19:03.811329678Z,60
2025-09-14T06:19:07.789672263Z,61
2025-09-14T06:19:09.789727572Z,60
2025-09-14T06:19:15.793049111Z,61
2025-09-14T06:19:17.789966176Z,60
2025-09-14T06:19:19.792940055Z,61
2025-09-14T06:19:21.792898541Z,60
2025-09-14T06:19:23.789550272Z,61
2025-09-14T06:19:29.805610365Z,60
2025-09-14T06:19:35.797480078Z,61
2025-09-14T06:19:37.793072372Z,60
2025-09-14T06:19:41.805722322Z,61
2025-09-14T06:19:43.802646275Z,60
2025-09-14T06:19:53.792865427Z,61
2025-09-14T06:19:55.796074213Z,60
2025-09-14T06:19:57.792905894Z,61
2025-09-14T06:20:01.956213534Z,60
2025-09-14T06:20:05.800209511Z,61
2025-09-14T06:20:07.796893291Z,60
2025-09-14T06:20:10.101147182Z,61
2025-09-14T06:20:11.790916876Z,60
2025-09-14T06:20:14.650301389Z,61
2025-09-14T06:20:15.835041851Z,60
2025-09-14T06:20:21.791115465Z,61
2025-09-14T06:20:27.800875697Z,60
2025-09-14T06:20:29.791653977Z,61
2025-09-14T06:20:33.791727982Z,60
2025-09-14T06:20:39.788010585Z,61
2025-09-14T06:20:45.791421187Z,60
2025-09-14T06:21:59.800555043Z,61
2025-09-14T06:22:05.789088288Z,60
2025-09-14T06:22:09.810952323Z,61
2025-09-14T06:22:27.812758981Z,60
2025-09-14T06:24:55.813571157Z,59
2025-09-14T06:25:23.571926892Z,60
2025-09-14T06:25:31.571134464Z,61
2025-09-14T06:25:39.577998608Z,60
2025-09-14T06:25:43.571349404Z,61
2025-09-14T06:25:47.577959106Z,60
2025-09-14T06:25:59.569231412Z,59
2025-09-14T06:26:03.568459237Z,60
2025-09-14T06:26:11.573450442Z,61
2025-09-14T06:26:13.56992266Z,60
2025-09-14T06:26:15.570952135Z,61
2025-09-14T06:26:19.579286116Z,60
2025-09-14T06:26:45.571309091Z,63
2025-09-14T06:26:49.603053325Z,62
2025-09-14T06:26:55.568788501Z,61
2025-09-14T06:26:59.568466615Z,60
